Date,City,aqi,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
2019-12-30,Ha Long,,,,,29.0,7.0,63.0,124.0,,,,,,
2019-12-30,Ha Noi,185.0,0.4,,,14.2,4.0,70.0,154.0,,,4.0,,,
2019-12-30,Ho Chi Minh,,,,,,,,89.0,,,,,,
2019-12-30,Hue,,11.0,,,8.0,11.0,39.0,67.0,,,6.0,,,
2019-12-31,Ha Long,,,,,31.0,6.0,64.0,108.0,99.2,,,,,
2019-12-31,Ha Noi,194.0,0.3,,,12.4,4.0,75.0,152.0,,,4.0,,,
2019-12-31,Ho Chi Minh,,,,,,,,82.0,,,,,,
2019-12-31,Hue,,9.0,,,6.0,10.0,10.0,17.0,,,5.0,,,
2020-01-01,Ha Long,,,,,26.0,6.0,52.0,83.0,99.1,,,,,
2020-01-01,Ha Noi,241.0,0.3,,,17.9,4.0,83.0,164.0,,,4.0,,,
2020-01-01,Ho Chi Minh,,,,,,,,74.0,,,,,,
2020-01-01,Hue,,5.0,,,4.0,11.0,13.0,18.0,,,5.0,,,
2020-01-02,Ha Long,,,19.3,95.7,21.0,8.0,31.0,49.0,99.0,1007.8,,20.0,,2.0
2020-01-02,Ha Noi,182.0,0.3,,,16.0,3.0,68.0,144.0,,,3.0,,,
2020-01-02,Ho Chi Minh,,,,,,,,78.0,,,,,,
2020-01-02,Hue,,6.0,,,5.0,10.0,17.0,26.0,,,5.0,,,
2020-01-03,Ha Long,,,19.2,92.3,25.0,10.0,35.0,48.0,,1007.2,,20.4,,2.0
2020-01-03,Ha Noi,107.0,2.0,18.0,69.0,15.0,3.0,44.0,82.0,,1019.0,3.0,24.0,,3.6
2020-01-03,Ho Chi Minh,,,20.0,56.0,,,,85.0,,1012.0,,29.5,,2.0
2020-01-03,Hue,,9.0,22.0,91.0,6.0,9.0,18.0,29.0,,1019.0,5.0,23.0,,1.5
2020-01-04,Ha Long,,,19.6,94.0,22.0,11.0,37.0,60.0,99.0,1004.8,,20.0,,1.0
2020-01-04,Ha Noi,126.0,0.3,19.0,87.5,12.0,3.0,44.0,85.0,,1019.0,2.6,21.0,,2.3
2020-01-04,Ho Chi Minh,,,21.0,65.5,,,,93.0,,1012.0,,27.0,,1.5
2020-01-04,Hue,,6.0,20.5,88.0,6.0,8.0,17.0,22.0,,1018.0,5.0,21.5,,1.5
2020-01-05,Ha Long,,,18.8,87.8,21.0,17.0,32.0,48.0,,1003.9,,20.7,,1.0
2020-01-05,Ha Noi,136.0,0.2,19.0,88.0,11.0,4.0,47.0,84.0,,1017.0,2.0,21.0,,2.5
2020-01-05,Ho Chi Minh,,,19.5,63.0,,,,107.0,,1011.5,,27.0,,2.3
2020-01-05,Hue,,6.0,20.5,85.5,4.0,9.0,18.0,24.0,,1017.0,5.0,23.0,,2.0
2020-01-06,Ha Long,,,19.5,92.3,19.0,12.0,31.0,50.0,,1002.8,,20.3,,2.0
2020-01-06,Ha Noi,127.0,0.3,19.0,85.5,11.5,4.0,47.0,85.0,,1016.0,2.0,22.0,11.3,4.1
2020-01-06,Ho Chi Minh,,,21.0,62.0,,,,114.0,,1011.5,,28.0,,2.3
2020-01-06,Hue,,6.0,21.0,83.0,4.0,9.0,22.0,29.0,,1016.0,5.0,24.0,,1.5
2020-01-07,Ha Long,,,20.6,90.7,19.0,6.0,34.0,54.0,,1002.9,,22.2,,1.0
2020-01-07,Ha Noi,166.0,3.0,19.5,88.0,13.0,3.0,48.0,97.0,,1016.0,2.0,21.5,,1.8
2020-01-07,Ho Chi Minh,,,21.0,60.0,,,,82.0,,1011.0,,29.0,,2.0
2020-01-07,Hue,,7.0,22.0,83.0,4.0,8.0,21.0,27.0,,1015.5,5.0,25.0,,2.0
2020-01-08,Ha Long,,,19.2,89.4,29.0,11.0,33.0,51.0,,1003.2,,20.5,,2.0
2020-01-08,Ha Noi,124.0,0.4,19.0,78.0,11.0,3.3,50.0,91.0,,1016.0,3.0,22.0,,3.3
2020-01-08,Ho Chi Minh,,,23.0,70.0,,,,87.0,,1010.5,,28.0,,2.0
2020-01-08,Hue,,7.0,21.5,83.0,3.0,10.0,23.0,26.0,,1016.0,5.0,25.0,,2.0
2020-01-09,Ha Long,,,20.2,94.0,20.0,12.0,33.0,53.0,99.6,1001.6,,20.7,,2.0
2020-01-09,Ha Noi,134.0,0.3,19.0,78.0,13.8,3.0,49.0,89.0,,1015.0,3.0,23.0,,3.0
2020-01-09,Ho Chi Minh,,,20.5,58.0,,,,99.0,,1009.0,,28.0,,1.5
2020-01-09,Hue,,7.0,21.0,80.5,3.0,9.0,24.0,30.0,,1015.0,5.0,24.5,,2.0
2020-01-10,Ha Long,,,20.7,95.8,17.0,10.0,28.0,48.0,99.1,1000.1,,21.4,,2.0
2020-01-10,Ha Noi,110.0,0.3,18.5,73.5,9.2,3.3,41.0,74.0,,1013.0,3.0,23.0,,4.1
2020-01-10,Ho Chi Minh,,,19.5,56.0,,,,91.0,,1009.0,,28.5,,2.8
2020-01-10,Hue,,8.0,20.5,83.0,4.0,8.0,26.0,39.0,,1014.0,5.0,24.0,,2.0
2020-01-11,Ha Long,,,19.9,94.0,18.0,5.0,33.0,55.0,,1000.1,,20.4,,1.0
2020-01-11,Ha Noi,117.0,0.3,19.0,77.5,8.0,3.0,46.0,74.0,,1013.5,3.0,21.0,,3.6
2020-01-11,Ho Chi Minh,,,23.0,78.0,,,,91.0,,1009.0,,27.0,,2.3
2020-01-11,Hue,,8.0,21.0,85.5,1.0,8.0,30.0,40.0,,1013.0,5.0,24.0,,1.2
2020-01-12,Ha Long,,,14.4,90.2,14.0,7.0,28.0,40.0,99.0,1003.4,,16.0,,1.0
2020-01-12,Ha Noi,84.0,0.2,10.0,67.0,8.0,3.3,31.0,78.0,,1017.5,3.0,16.5,,3.0
2020-01-12,Ho Chi Minh,,,22.5,78.0,,,,107.0,,1009.0,,26.5,,1.5
2020-01-12,Hue,,7.0,21.0,83.0,,9.0,21.0,27.0,,1014.5,5.0,24.0,,1.8
2020-01-13,Ha Long,,,15.7,91.4,28.0,2.0,54.0,79.0,99.0,1001.7,,18.4,,1.0
2020-01-13,Ha Noi,193.0,0.3,14.5,88.0,11.0,3.0,78.0,159.0,,1016.0,5.6,17.0,,1.2
2020-01-13,Ho Chi Minh,,,19.0,67.0,,,,85.0,,1009.0,,26.0,,2.5
2020-01-13,Hue,,7.0,20.0,83.0,1.0,9.0,26.0,36.0,,1014.0,5.0,23.0,,2.3
2020-01-14,Ha Long,,,20.1,97.6,27.0,5.0,49.0,92.0,0.1,1001.0,,20.5,,1.0
2020-01-14,Ha Noi,253.0,0.5,17.0,88.0,18.0,3.0,93.0,182.0,,1014.5,5.6,18.5,,1.2
2020-01-14,Ho Chi Minh,,,18.5,57.5,,,,119.0,,1010.0,,26.5,,2.0
2020-01-14,Hue,,8.0,18.5,78.0,1.0,10.0,11.0,21.0,,1015.0,5.0,23.0,,1.8
2020-01-15,Ha Long,,,20.0,95.8,20.0,10.0,33.0,45.0,99.1,1000.3,,20.5,,3.0
2020-01-15,Ha Noi,,0.2,19.0,80.5,8.0,5.0,35.0,82.0,,1013.0,3.0,22.5,,4.6
2020-01-15,Ho Chi Minh,,,19.0,65.0,,,,124.0,,1011.0,,27.0,,2.5
2020-01-15,Hue,,7.0,19.0,83.0,,10.0,8.0,17.0,,1014.0,5.0,23.0,,1.2
2020-01-16,Ha Long,,,19.7,89.0,23.0,6.0,34.0,45.0,99.1,1001.8,,20.3,,2.0
2020-01-16,Ha Noi,,0.3,19.0,78.0,9.6,3.0,43.0,78.0,,1014.5,4.0,22.0,,4.3
2020-01-16,Ho Chi Minh,,,21.0,69.5,,,,147.0,,1011.0,,27.5,,2.0
2020-01-16,Hue,,8.0,19.5,83.0,14.0,9.0,32.0,39.0,,1014.0,5.0,25.0,,1.8
2020-01-17,Ha Long,,,16.6,93.9,15.0,2.0,33.0,50.0,,1004.7,,18.0,,1.0
2020-01-17,Ha Noi,,4.0,12.0,74.5,8.0,3.7,33.0,85.0,,1019.0,4.0,16.0,,5.4
2020-01-17,Ho Chi Minh,,,21.0,69.0,,,,114.0,,1011.5,,27.0,,1.8
2020-01-17,Hue,,8.0,20.5,83.0,14.0,5.0,9.0,6.0,,1017.0,5.0,23.0,,1.2
2020-01-18,Ha Long,,,15.8,95.6,22.0,2.0,48.0,85.0,99.1,1003.4,,16.4,,2.0
2020-01-18,Ha Noi,,5.0,13.5,93.0,7.4,4.0,52.0,127.0,,1018.0,3.0,15.0,,3.0
2020-01-18,Ho Chi Minh,,,21.0,67.5,,,,107.0,,1011.5,,27.0,,1.8
2020-01-18,Hue,,8.0,19.0,78.0,14.0,5.0,24.0,33.0,,1016.5,5.0,23.5,,1.8
2020-01-19,Ha Long,,,14.8,93.2,15.0,4.0,43.0,82.0,99.1,1006.1,,16.2,,2.0
2020-01-19,Ha Noi,,0.2,11.0,76.0,6.4,5.0,31.0,78.0,,1020.0,3.0,15.0,,3.3
2020-01-19,Ho Chi Minh,,,21.0,65.5,,,,93.0,,1012.0,,27.0,,1.5
2020-01-19,Hue,,8.0,19.0,75.5,14.0,5.0,20.0,30.0,,1017.0,5.0,23.0,,1.2
2020-01-20,Ha Long,,,13.9,96.2,22.0,2.0,60.0,127.0,99.1,1006.2,,14.5,,2.0
2020-01-20,Ha Noi,,4.0,12.5,87.0,7.8,4.5,45.0,104.0,,1020.0,3.0,14.0,,2.0
2020-01-20,Ho Chi Minh,,,19.5,59.5,,,,85.0,,1012.0,,28.0,,2.3
2020-01-20,Hue,,9.0,18.5,78.0,14.0,5.0,25.0,34.0,,1018.0,5.0,23.0,,2.0
