Date,City,aqi,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
2020-01-08,Ho Chi Minh,167.0,,23.0,70.0,,,,87.0,,1010.5,,28.0,,2.0
2020-01-08,Hue,80.0,7.0,21.5,83.0,3.0,10.0,23.0,26.0,,1016.0,5.0,25.0,,2.0
2020-01-09,Ha Long,144.0,5.846153846153846,20.2,94.0,20.0,12.0,33.0,53.0,99.6,1001.6,14.181818181818182,20.7,,2.0
2020-01-09,Ha Noi,134.0,0.3,19.0,78.0,13.8,3.0,49.0,89.0,,1015.0,3.0,23.0,,3.0
2020-01-09,Ho Chi Minh,173.0,,20.5,58.0,,,,99.0,,1009.0,,28.0,,1.5
2020-01-09,Hue,89.0,7.0,21.0,80.5,3.0,9.0,24.0,30.0,,1015.0,5.0,24.5,,2.0
2020-01-10,Ha Long,132.0,5.846153846153846,20.7,95.8,17.0,10.0,28.0,48.0,99.1,1000.1,14.181818181818182,21.4,,2.0
2020-01-10,Ha Noi,110.0,0.3,18.5,73.5,9.2,3.3,41.0,74.0,,1013.0,3.0,23.0,,4.1
2020-01-10,Ho Chi Minh,169.0,,19.5,56.0,,,,91.0,,1009.0,,28.5,,2.8
2020-01-10,Hue,110.0,8.0,20.5,83.0,4.0,8.0,26.0,39.0,,1014.0,5.0,24.0,,2.0
2020-01-11,Ha Long,149.0,5.846153846153846,19.9,94.0,18.0,5.0,33.0,55.0,,1000.1,14.181818181818182,20.4,,1.0
2020-01-11,Ha Noi,117.0,0.3,19.0,77.5,8.0,3.0,46.0,74.0,,1013.5,3.0,21.0,,3.6
2020-01-11,Ho Chi Minh,169.0,,23.0,78.0,,,,91.0,,1009.0,,27.0,,2.3
2020-01-11,Hue,112.0,8.0,21.0,85.5,1.0,8.0,30.0,40.0,,1013.0,5.0,24.0,,1.2
2020-01-12,Ha Long,112.0,5.846153846153846,14.4,90.2,14.0,7.0,28.0,40.0,99.0,1003.4,14.181818181818182,16.0,,1.0
2020-01-12,Ha Noi,84.0,0.2,10.0,67.0,8.0,3.3,31.0,78.0,,1017.5,3.0,16.5,,3.0
2020-01-12,Ho Chi Minh,178.0,,22.5,78.0,,,,107.0,,1009.0,,26.5,,1.5
2020-01-12,Hue,82.0,7.0,21.0,83.0,12.571428571428571,9.0,21.0,27.0,,1014.5,5.0,24.0,,1.8
2020-01-13,Ha Long,163.0,5.846153846153846,15.7,91.4,28.0,2.0,54.0,79.0,99.0,1001.7,14.181818181818182,18.4,,1.0
2020-01-13,Ha Noi,193.0,0.3,14.5,88.0,11.0,3.0,78.0,159.0,,1016.0,5.6,17.0,,1.2
2020-01-13,Ho Chi Minh,166.0,,19.0,67.0,,,,85.0,,1009.0,,26.0,,2.5
2020-01-13,Hue,102.0,7.0,20.0,83.0,1.0,9.0,26.0,36.0,,1014.0,5.0,23.0,,2.3
2020-01-14,Ha Long,170.0,5.846153846153846,20.1,97.6,27.0,5.0,49.0,92.0,0.1,1001.0,14.181818181818182,20.5,,1.0
2020-01-14,Ha Noi,253.0,0.5,17.0,88.0,18.0,3.0,93.0,182.0,,1014.5,5.6,18.5,,1.2
2020-01-14,Ho Chi Minh,184.0,,18.5,57.5,,,,119.0,,1010.0,,26.5,,2.0
2020-01-14,Hue,70.0,8.0,18.5,78.0,1.0,10.0,11.0,21.0,,1015.0,5.0,23.0,,1.8
2020-01-15,Ha Long,124.0,5.846153846153846,20.0,95.8,20.0,10.0,33.0,45.0,99.1,1000.3,14.181818181818182,20.5,,3.0
2020-01-15,Ha Noi,165.0,0.2,19.0,80.5,8.0,5.0,35.0,82.0,,1013.0,3.0,22.5,,4.6
2020-01-15,Ho Chi Minh,186.0,,19.0,65.0,,,,124.0,,1011.0,,27.0,,2.5
2020-01-15,Hue,61.0,7.0,19.0,83.0,12.571428571428571,10.0,8.0,17.0,,1014.0,5.0,23.0,,1.2
2020-01-16,Ha Long,124.0,5.846153846153846,19.7,89.0,23.0,6.0,34.0,45.0,99.1,1001.8,14.181818181818182,20.3,,2.0
2020-01-16,Ha Noi,163.0,0.3,19.0,78.0,9.6,3.0,43.0,78.0,,1014.5,4.0,22.0,,4.3
2020-01-16,Ho Chi Minh,198.0,,21.0,69.5,,,,147.0,,1011.0,,27.5,,2.0
2020-01-16,Hue,110.0,8.0,19.5,83.0,14.0,9.0,32.0,39.0,,1014.0,5.0,25.0,,1.8
2020-01-17,Ha Long,137.0,5.846153846153846,16.6,93.9,15.0,2.0,33.0,50.0,,1004.7,14.181818181818182,18.0,,1.0
2020-01-17,Ha Noi,166.0,4.0,12.0,74.5,8.0,3.7,33.0,85.0,,1019.0,4.0,16.0,,5.4
2020-01-17,Ho Chi Minh,181.0,,21.0,69.0,,,,114.0,,1011.5,,27.0,,1.8
2020-01-17,Hue,25.0,8.0,20.5,83.0,14.0,5.0,9.0,6.0,,1017.0,5.0,23.0,,1.2
2020-01-18,Ha Long,166.0,5.846153846153846,15.8,95.6,22.0,2.0,48.0,85.0,99.1,1003.4,14.181818181818182,16.4,,2.0
2020-01-18,Ha Noi,188.0,5.0,13.5,93.0,7.4,4.0,52.0,127.0,,1018.0,3.0,15.0,,3.0
2020-01-18,Ho Chi Minh,178.0,,21.0,67.5,,,,107.0,,1011.5,,27.0,,1.8
2020-01-18,Hue,95.0,8.0,19.0,78.0,14.0,5.0,24.0,33.0,,1016.5,5.0,23.5,,1.8
2020-01-19,Ha Long,165.0,5.846153846153846,14.8,93.2,15.0,4.0,43.0,82.0,99.1,1006.1,14.181818181818182,16.2,,2.0
2020-01-19,Ha Noi,163.0,0.2,11.0,76.0,6.4,5.0,31.0,78.0,,1020.0,3.0,15.0,,3.3
2020-01-19,Ho Chi Minh,170.0,,21.0,65.5,,,,93.0,,1012.0,,27.0,,1.5
2020-01-19,Hue,89.0,8.0,19.0,75.5,14.0,5.0,20.0,30.0,,1017.0,5.0,23.0,,1.2
2020-01-20,Ha Long,188.0,5.846153846153846,13.9,96.2,22.0,2.0,60.0,127.0,99.1,1006.2,14.181818181818182,14.5,,2.0
2020-01-20,Ha Noi,176.0,4.0,12.5,87.0,7.8,4.5,45.0,104.0,,1020.0,3.0,14.0,,2.0
2020-01-20,Ho Chi Minh,166.0,,19.5,59.5,,,,85.0,,1012.0,,28.0,,2.3
2020-01-20,Hue,97.0,9.0,18.5,78.0,14.0,5.0,25.0,34.0,,1018.0,5.0,23.0,,2.0
2020-01-21,Ha Long,183.0,5.846153846153846,19.5,94.0,20.0,4.0,57.0,117.0,99.0,1005.3,14.181818181818182,19.5,,1.0
2020-01-21,Ha Noi,57.0,0.3,16.0,88.0,12.4,3.3,68.0,159.0,,1019.0,4.0,18.5,,1.2
2020-01-21,Ho Chi Minh,163.0,,19.0,54.5,,,,78.0,,1014.0,,28.5,,2.3
2020-01-21,Hue,87.0,8.0,19.0,78.0,14.0,5.0,24.0,29.0,,1018.5,5.0,23.5,,1.8
2020-01-22,Ha Long,153.0,5.846153846153846,20.6,97.0,18.0,7.0,40.0,60.0,99.1,1003.0,14.181818181818182,21.1,,2.0
2020-01-22,Ha Noi,199.0,0.3,19.0,88.0,8.3,4.0,54.0,149.0,,1016.0,3.0,19.5,,2.0
2020-01-22,Ho Chi Minh,158.0,,20.0,58.0,,,,70.0,,1013.0,,28.0,,2.8
2020-01-22,Hue,97.0,10.0,20.0,80.5,14.0,5.0,26.0,34.0,,1016.5,5.0,24.0,,2.5
2020-01-23,Ha Long,124.0,5.846153846153846,20.8,94.1,16.0,10.0,26.0,45.0,,1000.8,14.181818181818182,21.6,,2.0
2020-01-23,Ha Noi,163.0,0.2,20.0,85.5,6.0,5.0,31.0,78.0,,1014.0,2.0,23.0,,3.8
2020-01-23,Ho Chi Minh,154.0,,17.0,54.0,,,,61.0,,1012.0,,27.5,,3.6
2020-01-23,Hue,117.0,8.0,21.0,88.0,14.0,5.0,31.0,42.0,,1014.5,5.0,23.5,,1.8
2020-01-24,Ha Long,147.0,5.846153846153846,20.4,91.7,11.0,8.0,30.0,54.0,99.4,1000.4,14.181818181818182,21.5,,2.0
2020-01-24,Ha Noi,139.0,0.1,20.5,91.0,3.7,5.3,23.0,51.0,,1013.5,2.0,22.0,,3.3
2020-01-24,Ho Chi Minh,156.0,,17.5,56.0,,,,65.0,,1011.5,,27.0,,3.3
2020-01-24,Hue,132.0,9.0,21.5,88.0,14.0,5.0,31.0,48.0,,1014.0,5.0,24.0,,2.0
2020-01-25,Ha Long,46.0,5.846153846153846,18.6,99.3,8.0,9.0,6.0,11.0,0.4,999.2,14.181818181818182,18.6,,2.0
2020-01-25,Ha Noi,153.0,3.0,12.0,84.5,3.2,10.0,11.0,59.0,,1013.0,2.0,17.0,,4.1
2020-01-25,Ho Chi Minh,152.0,,21.0,69.5,,,,57.0,,1010.0,,27.0,,3.6
2020-01-25,Hue,102.0,7.0,21.5,85.5,14.0,5.0,27.0,36.0,,1012.0,5.0,24.5,,1.2
2020-01-26,Ha Long,61.0,5.846153846153846,10.8,76.0,14.0,7.0,14.0,17.0,99.8,1003.1,14.181818181818182,15.0,,2.0
2020-01-26,Ha Noi,107.0,4.0,8.5,63.0,5.0,7.8,16.0,38.0,,1018.0,3.0,16.0,,3.0
2020-01-26,Ho Chi Minh,144.0,,23.0,80.5,,,,53.0,,1010.0,,26.0,,2.8
2020-01-26,Hue,33.0,7.0,18.0,93.0,14.0,5.0,5.0,8.0,,1015.0,5.0,19.5,,5.1
2020-01-27,Ha Long,82.0,5.846153846153846,9.9,75.0,15.0,9.0,17.0,27.0,,1002.3,14.181818181818182,14.5,,2.0
2020-01-27,Ha Noi,152.0,4.0,7.5,62.0,5.0,6.5,21.0,57.0,,1017.0,3.0,15.0,,2.8
2020-01-27,Ho Chi Minh,149.0,,21.5,80.5,,,,55.0,,1010.0,,26.0,,3.6
2020-01-27,Hue,53.0,9.0,17.5,93.0,14.0,5.0,8.0,13.0,,1015.0,5.0,18.0,,2.8
2020-01-28,Ha Long,132.0,5.846153846153846,11.9,83.3,16.0,6.0,28.0,48.0,,1004.1,14.181818181818182,14.2,,2.0
2020-01-28,Ha Noi,164.0,4.0,7.5,62.0,5.5,7.0,37.0,80.0,,1018.0,3.0,15.0,,3.0
2020-01-28,Ho Chi Minh,152.0,,21.5,75.5,,,,57.0,,1010.0,,26.0,,3.0
2020-01-28,Hue,42.0,8.0,18.0,96.5,14.0,5.0,5.0,10.0,,1016.0,5.0,18.5,,2.8
2020-01-29,Ha Long,157.0,5.846153846153846,10.1,78.3,12.0,10.0,42.0,68.0,99.0,1007.4,14.181818181818182,13.8,,2.0
2020-01-29,Ha Noi,185.0,4.0,7.0,62.0,4.6,6.5,45.0,122.0,,1022.0,3.0,14.0,,2.5
2020-01-29,Ho Chi Minh,154.0,,22.0,74.0,,,,61.0,,1012.0,,26.5,,3.0
2020-01-29,Hue,25.0,7.0,17.0,100.0,14.0,5.0,3.0,6.0,,1019.0,5.0,18.0,,3.8
2020-01-30,Ha Long,160.0,5.846153846153846,9.7,73.4,21.0,14.0,40.0,72.0,,1007.5,14.181818181818182,14.1,,2.0
2020-01-30,Ha Noi,55.0,6.0,8.5,67.0,7.0,6.1,64.0,151.0,,1022.0,3.0,14.0,,1.5
2020-01-30,Ho Chi Minh,157.0,,22.0,74.0,,,,68.0,,1011.0,,26.5,,2.5
2020-01-30,Hue,68.0,10.0,16.0,88.0,14.0,5.0,24.0,20.0,,1020.0,5.0,18.0,,3.6
2020-01-31,Ha Long,161.0,5.846153846153846,11.1,74.7,23.0,10.0,51.0,75.0,,1006.0,14.181818181818182,16.6,,2.0
2020-01-31,Ha Noi,194.0,0.2,9.0,65.0,17.0,4.1,63.0,138.0,,1020.0,4.0,17.0,8.2,2.3
2020-01-31,Ho Chi Minh,164.0,,20.0,63.5,,,,80.0,,1012.0,,26.0,,2.0
2020-01-31,Hue,147.0,9.0,17.0,82.0,14.0,5.0,27.0,54.0,,1019.0,5.0,21.0,,1.8
2020-02-01,Ha Long,160.0,5.846153846153846,15.2,95.6,29.0,7.0,41.0,73.0,99.0,1004.5,14.181818181818182,16.1,,1.0
2020-02-01,Ha Noi,62.0,0.2,12.5,82.0,13.0,4.9,78.0,165.0,,1019.0,3.6,16.0,,1.2
2020-02-01,Ho Chi Minh,172.0,,18.0,57.0,,,,97.0,,1012.5,,26.0,,2.0
2020-02-01,Hue,80.0,7.0,18.0,73.0,14.0,5.0,19.0,26.0,,1018.0,5.0,22.5,,3.3
2020-02-02,Ha Long,161.0,5.846153846153846,17.5,97.5,22.0,4.0,44.0,74.0,99.0,1005.1,14.181818181818182,17.9,,2.0
2020-02-02,Ha Noi,65.0,0.2,15.0,87.5,10.0,5.0,83.0,180.0,,1018.5,3.0,18.0,,1.0
2020-02-02,Ho Chi Minh,172.0,,18.5,65.0,,,,97.0,,1013.0,,26.0,,2.0
2020-02-02,Hue,84.0,6.0,18.0,83.0,14.0,5.0,17.0,28.0,,1018.0,5.029411764705882,22.0,,1.5
2020-02-03,Ha Long,160.0,5.846153846153846,18.1,95.7,21.0,4.0,41.0,72.0,,1003.3,14.181818181818182,18.5,,2.0
2020-02-03,Ha Noi,57.0,0.3,15.0,93.0,7.0,4.1,68.0,154.0,,1017.0,3.0,18.0,,2.0
2020-02-03,Ho Chi Minh,168.0,,18.5,61.0,,,,89.0,,1013.0,,27.0,,2.3
2020-02-03,Hue,82.0,8.0,19.0,83.0,14.0,5.0,19.0,27.0,,1017.0,5.029411764705882,22.5,,2.0
2020-02-04,Ha Long,139.0,5.846153846153846,15.4,95.0,17.0,2.0,29.0,51.0,99.4,1004.4,14.181818181818182,15.6,,1.0
2020-02-04,Ha Noi,112.0,3.0,12.5,90.0,1.0,9.0,17.0,40.0,,1019.0,3.0,14.0,,3.3
2020-02-04,Ho Chi Minh,161.0,,19.0,59.5,,,,74.0,,1012.0,,26.0,,2.5
2020-02-04,Hue,89.0,7.0,19.5,85.5,14.0,5.0,24.0,30.0,,1016.0,5.029411764705882,23.0,,1.5
2020-02-05,Ha Long,161.0,5.846153846153846,15.0,100.0,19.0,2.0,42.0,74.0,0.2,1003.8,14.181818181818182,15.0,,2.0
2020-02-05,Ha Noi,153.0,4.0,13.0,93.0,2.0,7.4,22.0,59.0,,1018.3,4.0,14.0,,2.3
2020-02-05,Ho Chi Minh,162.0,,17.5,59.0,,,,76.0,,1011.0,,26.0,,2.5
2020-02-05,Hue,87.0,6.0,19.0,83.0,13.0,5.0,22.0,29.0,,1016.5,5.029411764705882,22.0,,2.0
2020-02-06,Ha Long,166.0,5.846153846153846,19.0,90.6,19.0,2.0,46.0,85.0,99.1,1002.1,14.181818181818182,20.0,,1.0
2020-02-06,Ha Noi,188.0,0.3,15.0,93.0,4.2,2.0,57.0,127.0,,1016.0,4.0,17.0,,1.8
2020-02-06,Ho Chi Minh,163.0,,15.0,47.0,,,,78.0,,1012.0,,27.0,,2.3
2020-02-06,Hue,87.0,7.0,17.5,80.0,14.0,5.0,23.0,29.0,,1016.0,5.029411764705882,22.5,,1.8
2020-02-07,Ha Long,151.0,5.846153846153846,18.7,95.7,18.0,2.0,32.0,56.0,99.2,1004.8,14.181818181818182,19.4,,1.0
2020-02-07,Ha Noi,189.0,0.3,17.0,93.0,4.0,2.0,58.0,129.0,,1018.0,4.0,19.0,,1.5
2020-02-07,Ho Chi Minh,161.0,,17.5,57.0,,,,74.0,,1012.5,,27.0,,3.0
2020-02-07,Hue,99.0,7.0,19.5,78.0,13.0,5.0,24.0,35.0,,1017.0,5.029411764705882,24.0,,1.8
2020-02-08,Ha Long,154.0,5.846153846153846,17.8,92.7,18.0,6.0,34.0,61.0,,1007.2,14.181818181818182,18.4,,2.0
2020-02-08,Ha Noi,164.0,0.2,16.0,82.0,8.769354838709678,2.0,32.0,80.0,,1021.5,4.0,17.5,,3.8
2020-02-08,Ho Chi Minh,176.0,,20.0,65.0,,,,104.0,,1012.0,,27.0,,1.8
2020-02-08,Hue,74.0,6.0,20.5,83.0,14.0,6.0,20.0,23.0,,1020.0,5.029411764705882,24.0,,3.0
2020-02-09,Ha Long,93.0,5.846153846153846,15.6,95.6,14.0,6.0,20.0,32.0,,1010.6,14.181818181818182,16.0,,2.0
2020-02-09,Ha Noi,149.0,4.0,12.0,87.0,8.769354838709678,2.1,16.0,55.0,,1025.5,3.0,14.0,,4.1
2020-02-09,Ho Chi Minh,165.0,,18.0,61.0,,,,82.0,,1012.5,,26.5,,1.8
2020-02-09,Hue,76.0,5.0,20.0,80.5,13.0,7.0,20.0,24.0,,1021.5,5.029411764705882,23.0,,4.1
